Customer ID,Marital_Status,Income_in_Thousands,Number_of_Children,Level_of_Education_,Age_Category_,Total_Spend,Number_Transactions,X$T_TwoStep
228,Married,227,3,High School Graduate,35 - 49,29.465,18.5,Average Married No Kids
234,Married,240,4,High School Graduate,50 - 64,42.8,18.4,Average Married No Kids
236,Single,120,3,High School Graduate,20-34,14.46,19,Young Starters
236,Single,120,3,High School Graduate,20-34,14.46,19,Young Starters
236,Single,190,3,College Graduate,50 - 64,21.62,20,Young Starters
236,Single,190,3,College Graduate,50 - 64,21.62,20,Young Starters
237,Single,195,4,College Graduate,20-34,26.895,20.5,Young Starters
245,Married,210,3,High School Graduate,50 - 64,31.505,18.5,Average Married No Kids
250,Married,225,4,High School Graduate,50 - 64,37.805,19.8,Average Married No Kids
252,Married,300,4,College Graduate,50 - 64,46.305,19.8,High Income Families
255,Married,290,4,College Graduate,50 - 64,54.005,22.5,High Income Families
257,Single,230,5,College Graduate,20-34,60.105,25.4,Young Starters
259,Single,220,4,High School Graduate,50 - 64,34.605,17.2,Young Starters
260,Married,275,4,College Graduate,50 - 64,39.08,20,High Income Families
265,Married,215,4,College Graduate,50 - 64,43.33,19,High Income Families
265,Married,215,4,College Graduate,50 - 64,43.33,19,High Income Families
265,Single,300,5,Some College,20-34,42.66,30,Young Starters
265,Single,300,5,Some College,20-34,42.66,30,Young Starters
271,Married,113,2,Some High School,65 and up,13.987,13.2,Low Value Married No Kids
281,Married,154,3,High School Graduate,50 - 64,19.047,15.9,Average Married No Kids
289,Married,145,3,High School Graduate,35 - 49,17.357,16.3,Average Married No Kids
290,Married,210,3,High School Graduate,50 - 64,24.997,19,Average Married No Kids
295,Single,200,5,High School Graduate,20-34,31.807,24.3,Young Starters
295,Single,200,5,High School Graduate,20-34,31.807,24.3,Young Starters
295,Married,161,3,High School Graduate,50 - 64,25.45,19.8,Average Married No Kids
295,Married,161,3,High School Graduate,50 - 64,25.45,19.8,Average Married No Kids
298,Single,173,4,High School Graduate,50 - 64,22.527,19.5,Young Starters
301,Married,125,3,Some High School,35 - 49,16.24,15,Low Value Married No Kids
309,Single,165,3,High School Graduate,50 - 64,20.095,15.9,Young Starters
314,Married,133,3,Some High School,35 - 49,17.518,18.5,Low Value Married No Kids
314,Married,133,3,Some High School,35 - 49,17.518,18.5,Low Value Married No Kids
314,Married,120,2,Some High School,65 and up,13.108,13.2,Low Value Married No Kids
314,Married,120,2,Some High School,65 and up,13.108,13.2,Low Value Married No Kids
319,Married,210,3,High School Graduate,35 - 49,25.545,18.5,Average Married No Kids
320,Married,140,2,Some High School,65 and up,16.875,14.5,Low Value Married No Kids
325,Single,142,3,High School Graduate,50 - 64,11.528,15.1,Young Starters
326,Single,127,3,Some High School,35 - 49,16.888,15.3,Low Value Married No Kids
326,Single,127,3,Some High School,35 - 49,16.888,15.3,Low Value Married No Kids
326,Single,194,4,High School Graduate,50 - 64,22.368,20.9,Young Starters
326,Single,194,4,High School Graduate,50 - 64,22.368,20.9,Young Starters
329,Single,150,3,High School Graduate,50 - 64,22.288,18.5,Young Starters
329,Single,150,3,High School Graduate,50 - 64,22.288,18.5,Young Starters
329,Single,230,5,College Graduate,20-34,51.728,25.4,Young Starters
329,Single,230,5,College Graduate,20-34,51.728,25.4,Young Starters
332,Married,115,3,Some High School,35 - 49,14.9,14.5,Low Value Married No Kids
332,Married,115,3,Some High School,35 - 49,14.9,14.5,Low Value Married No Kids
332,Married,115,3,Some High School,35 - 49,16.7,14.5,Low Value Married No Kids
332,Married,115,3,Some High School,35 - 49,16.7,14.5,Low Value Married No Kids
334,Married,150,3,Some High School,35 - 49,21.2,16.4,Low Value Married No Kids
334,Married,150,3,Some High School,35 - 49,21.2,16.4,Low Value Married No Kids
334,Married,115,3,Some High School,35 - 49,19.99,13.7,Low Value Married No Kids
334,Married,115,3,Some High School,35 - 49,19.99,13.7,Low Value Married No Kids
335,Married,115,3,Some High School,35 - 49,17.5,14.6,Low Value Married No Kids
339,Married,160,3,Some High School,35 - 49,23.4,15.8,Low Value Married No Kids
339,Married,160,3,Some High School,35 - 49,23.4,15.8,Low Value Married No Kids
339,Married,115,3,Some High School,35 - 49,15.9,14.5,Low Value Married No Kids
339,Married,115,3,Some High School,35 - 49,15.9,14.5,Low Value Married No Kids
340,Married,168,3,High School Graduate,35 - 49,27.5,17.9,Average Married No Kids
340,Married,168,3,High School Graduate,35 - 49,27.5,17.9,Average Married No Kids
340,Married,160,3,Some High School,35 - 49,24.4,15.8,Low Value Married No Kids
340,Married,160,3,Some High School,35 - 49,24.4,15.8,Low Value Married No Kids
341,Married,168,3,High School Graduate,35 - 49,28.8,17.9,Average Married No Kids
342,Married,236,4,Some High School,50 - 64,45.5,18.5,High Income Families
346,Married,140,3,Some High School,35 - 49,21.5,13.2,Low Value Married No Kids
346,Married,140,3,Some High School,35 - 49,21.5,13.2,Low Value Married No Kids
346,Married,201,4,High School Graduate,50 - 64,36,21.1,Average Married No Kids
346,Married,201,4,High School Graduate,50 - 64,36,21.1,Average Married No Kids
349,Married,225,4,High School Graduate,35 - 49,28.4,17.2,Average Married No Kids
350,Married,225,3,High School Graduate,35 - 49,28.4,17.2,Average Married No Kids
353,Married,150,3,Some High School,35 - 49,23.99,16.4,Low Value Married No Kids
353,Married,150,3,Some High School,35 - 49,23.99,16.4,Low Value Married No Kids
353,Married,210,4,High School Graduate,50 - 64,42,18,Average Married No Kids
353,Married,210,4,High School Graduate,50 - 64,42,18,Average Married No Kids
355,Married,200,4,High School Graduate,50 - 64,33.95,18.5,Average Married No Kids
355,Married,200,4,High School Graduate,50 - 64,33.95,18.5,Average Married No Kids
355,Married,310,4,College Graduate,50 - 64,62,23.7,High Income Families
355,Married,310,4,College Graduate,50 - 64,62,23.7,High Income Families
356,Married,170,3,High School Graduate,35 - 49,26.99,16.6,Average Married No Kids
356,Married,170,3,High School Graduate,35 - 49,26.99,16.6,Average Married No Kids
356,Married,193,3,High School Graduate,50 - 64,33.4,16.6,Average Married No Kids
356,Married,193,3,High School Graduate,50 - 64,33.4,16.6,Average Married No Kids
366,Married,193,3,High School Graduate,50 - 64,38.9,18.5,Average Married No Kids
378,Married,175,3,High School Graduate,35 - 49,21.975,17.5,Average Married No Kids
379,Married,205,4,College Graduate,50 - 64,31.965,18.5,High Income Families
379,Married,205,4,College Graduate,50 - 64,31.965,18.5,High Income Families
379,Married,240,4,College Graduate,50 - 64,25.3,17.5,High Income Families
379,Married,240,4,College Graduate,50 - 64,25.3,17.5,High Income Families
384,Married,275,4,College Graduate,50 - 64,39.895,18.5,High Income Families
384,Married,275,4,College Graduate,50 - 64,39.895,18.5,High Income Families
384,Married,205,4,College Graduate,35 - 49,27.885,17.5,Low Value Married No Kids
384,Married,205,4,College Graduate,35 - 49,27.885,17.5,Low Value Married No Kids
385,Married,275,4,College Graduate,50 - 64,44.475,18.5,High Income Families
385,Married,275,4,College Graduate,50 - 64,44.475,18.5,High Income Families
385,Married,275,4,College Graduate,50 - 64,39.665,19,High Income Families
385,Married,275,4,College Graduate,50 - 64,39.665,19,High Income Families
392,Married,200,4,High School Graduate,50 - 64,31.01,18,Average Married No Kids
395,Single,255,6,Some College,20-34,46.225,30,Young Starters
395,Single,255,6,Some College,20-34,46.225,30,Young Starters
395,Married,115,3,Some High School,35 - 49,13.26,14.3,Low Value Married No Kids
395,Married,115,3,Some High School,35 - 49,13.26,14.3,Low Value Married No Kids
396,Married,170,3,High School Graduate,35 - 49,16.535,15,Average Married No Kids
397,Married,175,3,High School Graduate,35 - 49,18.89,16.6,Average Married No Kids
397,Married,175,3,High School Graduate,35 - 49,18.89,16.6,Average Married No Kids
397,Married,180,3,High School Graduate,35 - 49,19.39,17,Average Married No Kids
397,Married,180,3,High School Graduate,35 - 49,19.39,17,Average Married No Kids
398,Married,200,4,College Graduate,35 - 49,24.34,16.8,Low Value Married No Kids
398,Married,200,4,College Graduate,35 - 49,24.34,16.8,Low Value Married No Kids
398,Married,345,3,Some College,50 - 64,45.705,19.1,High Income Families
398,Married,345,3,Some College,50 - 64,45.705,19.1,High Income Families
403,Married,120,2,Some High School,65 and up,13.96,13.2,Low Value Married No Kids
405,Married,55,2,Some High School,19 or below,9.235,10.3,Low Value Married No Kids
420,Married,180,3,High School Graduate,35 - 49,18.89,17,Average Married No Kids
424,Married,163,3,High School Graduate,50 - 64,19.84,15.9,Average Married No Kids
434,Married,168,3,High School Graduate,50 - 64,24.495,16,Average Married No Kids
435,Married,200,3,High School Graduate,35 - 49,22.245,17,Average Married No Kids
440,Married,253,4,High School Graduate,50 - 64,28.34,17,Average Married No Kids
440,Married,253,4,High School Graduate,50 - 64,28.34,17,Average Married No Kids
440,Married,132,3,Some High School,35 - 49,16.48,16,Low Value Married No Kids
440,Married,132,3,Some High School,35 - 49,16.48,16,Low Value Married No Kids
441,Married,253,4,High School Graduate,50 - 64,29.185,17,Average Married No Kids
441,Married,253,4,High School Graduate,50 - 64,29.185,17,Average Married No Kids
441,Single,,4,,,28.34,,
441,Single,,4,,,28.34,,
443,Married,163,3,High School Graduate,50 - 64,19.045,15.9,Average Married No Kids
443,Married,163,3,High School Graduate,50 - 64,19.045,15.9,Average Married No Kids
443,Married,132,3,Some High School,35 - 49,12.64,12.5,Low Value Married No Kids
443,Married,132,3,Some High School,35 - 49,12.64,12.5,Low Value Married No Kids
446,Married,202,3,High School Graduate,,22.505,17,
446,Married,202,3,High School Graduate,,22.505,17,
446,Married,168,3,High School Graduate,50 - 64,20.23,16,Average Married No Kids
446,Married,168,3,High School Graduate,50 - 64,20.23,16,Average Married No Kids
448,Married,450,3,Trade/Technical School,20-34,69.725,19,High Income Families
451,Single,230,4,Some College,20-34,19.46,26,Young Starters
452,Single,175,4,College Graduate,20-34,21.315,32,Young Starters
456,Single,175,4,College Graduate,20-34,18.575,32,Young Starters
460,Single,120,4,High School Graduate,20-34,16.98,22,Young Starters
462,Single,230,4,Some College,20-34,26.31,25,Young Starters
462,Single,230,4,Some College,20-34,26.31,25,Young Starters
462,Single,150,4,High School Graduate,50 - 64,19.565,20,Young Starters
462,Single,150,4,High School Graduate,50 - 64,19.565,20,Young Starters
464,Married,110,2,Some High School,65 and up,12.07,12.7,Low Value Married No Kids
464,Married,110,2,Some High School,65 and up,12.07,12.7,Low Value Married No Kids
464,Married,190,3,College Graduate,50 - 64,21.56,15.7,High Income Families
464,Married,190,3,College Graduate,50 - 64,21.56,15.7,High Income Families
472,Married,170,3,High School Graduate,35 - 49,17.035,15,Average Married No Kids
477,Married,107,3,Some High School,65 and up,12.315,13.2,Low Value Married No Kids
477,Married,107,3,Some High School,65 and up,12.315,13.2,Low Value Married No Kids
477,Married,155,3,High School Graduate,50 - 64,17.885,16,Average Married No Kids
477,Married,155,3,High School Graduate,50 - 64,17.885,16,Average Married No Kids
482,Married,200,4,College Graduate,50 - 64,22.195,19,High Income Families
482,Married,200,4,College Graduate,50 - 64,22.195,19,High Income Families
482,Single,210,4,College Graduate,20-34,31.93,21,Young Starters
482,Single,210,4,College Graduate,20-34,31.93,21,Young Starters
485,Single,150,4,High School Graduate,50 - 64,21.41,26,Young Starters
485,Single,150,4,High School Graduate,50 - 64,21.41,26,Young Starters
485,Single,240,5,College Graduate,20-34,36.135,26,Young Starters
485,Single,240,5,College Graduate,20-34,36.135,26,Young Starters
486,Single,119,3,High School Graduate,50 - 64,12.05,20,Young Starters
486,Single,119,3,High School Graduate,50 - 64,12.05,20,Young Starters
486,Single,220,4,College Graduate,20-34,26.935,25.1,Young Starters
486,Single,220,4,College Graduate,20-34,26.935,25.1,Young Starters
487,Married,106,2,Some High School,65 and up,12.885,11.9,Low Value Married No Kids
492,Married,135,3,Some High School,35 - 49,15.35,17.1,Low Value Married No Kids
494,Single,146,3,Some High School,50 - 64,20.55,15.3,Low Value Married No Kids
499,Single,205,4,High School Graduate,20-34,26.6,21.1,Young Starters
499,Single,205,4,High School Graduate,20-34,26.6,21.1,Young Starters
499,Single,210,4,High School Graduate,50 - 64,26,20,Young Starters
499,Single,210,4,High School Graduate,50 - 64,26,20,Young Starters
500,Married,92,2,Some High School,65 and up,9.699,11.9,Low Value Married No Kids
502,Married,140,3,Some High School,35 - 49,11.799,14.5,Low Value Married No Kids
506,Married,148,3,High School Graduate,35 - 49,14.999,17.2,Average Married No Kids
506,Married,148,3,High School Graduate,35 - 49,14.999,17.2,Average Married No Kids
506,Married,227,3,High School Graduate,35 - 49,29.465,18.5,Average Married No Kids
506,Married,227,3,High School Graduate,35 - 49,29.465,18.5,Average Married No Kids
507,Married,240,4,High School Graduate,50 - 64,42.8,18.4,Average Married No Kids
507,Married,240,4,High School Graduate,50 - 64,42.8,18.4,Average Married No Kids
507,Single,120,3,High School Graduate,20-34,14.46,19,Young Starters
507,Single,120,3,High School Graduate,20-34,14.46,19,Young Starters
516,Single,190,3,College Graduate,50 - 64,21.62,20,Young Starters
516,Single,190,3,College Graduate,50 - 64,21.62,20,Young Starters
516,Single,195,4,College Graduate,20-34,26.895,20.5,Young Starters
516,Single,195,4,College Graduate,20-34,26.895,20.5,Young Starters
519,Married,210,3,High School Graduate,50 - 64,31.505,18.5,Average Married No Kids
526,Married,225,4,High School Graduate,50 - 64,37.805,19.8,Average Married No Kids
528,Married,300,4,College Graduate,50 - 64,46.305,19.8,High Income Families
528,Married,300,4,College Graduate,50 - 64,46.305,19.8,High Income Families
528,Married,290,4,College Graduate,50 - 64,54.005,22.5,High Income Families
528,Married,290,4,College Graduate,50 - 64,54.005,22.5,High Income Families
532,Single,230,5,College Graduate,20-34,60.105,25.4,Young Starters
533,Married,275,4,College Graduate,50 - 64,39.08,20,High Income Families
533,Married,275,4,College Graduate,50 - 64,39.08,20,High Income Families
533,Single,220,4,High School Graduate,50 - 64,34.605,17.2,Young Starters
533,Single,220,4,High School Graduate,50 - 64,34.605,17.2,Young Starters
538,Married,215,4,College Graduate,50 - 64,43.33,19,High Income Families
540,Married,113,2,Some High School,65 and up,13.987,13.2,Low Value Married No Kids
540,Married,113,2,Some High School,65 and up,13.987,13.2,Low Value Married No Kids
540,Single,300,5,Some College,20-34,42.66,30,Young Starters
540,Single,300,5,Some College,20-34,42.66,30,Young Starters
544,Married,154,3,High School Graduate,50 - 64,19.047,15.9,Average Married No Kids
544,Married,154,3,High School Graduate,50 - 64,19.047,15.9,Average Married No Kids
544,Married,145,3,High School Graduate,35 - 49,17.357,16.3,Average Married No Kids
544,Married,145,3,High School Graduate,35 - 49,17.357,16.3,Average Married No Kids
548,Married,210,3,High School Graduate,50 - 64,24.997,19,Average Married No Kids
552,Married,161,3,High School Graduate,50 - 64,25.45,19.8,Average Married No Kids
552,Married,161,3,High School Graduate,50 - 64,25.45,19.8,Average Married No Kids
552,Married,161,3,High School Graduate,50 - 64,25.45,19.8,Average Married No Kids
552,Single,200,5,High School Graduate,20-34,31.807,24.3,Young Starters
552,Single,200,5,High School Graduate,20-34,31.807,24.3,Young Starters
552,Single,200,5,High School Graduate,20-34,31.807,24.3,Young Starters
552,Single,173,4,High School Graduate,50 - 64,22.527,19.5,Young Starters
552,Single,173,4,High School Graduate,50 - 64,22.527,19.5,Young Starters
552,Single,173,4,High School Graduate,50 - 64,22.527,19.5,Young Starters
555,Married,125,3,Some High School,35 - 49,16.24,15,Low Value Married No Kids
555,Married,125,3,Some High School,35 - 49,16.24,15,Low Value Married No Kids
555,Married,125,3,Some High School,65 and up,16.54,16,Low Value Married No Kids
555,Married,125,3,Some High School,65 and up,16.54,16,Low Value Married No Kids
556,Married,153,3,High School Graduate,50 - 64,19.035,16,Average Married No Kids
557,Married,200,4,College Graduate,50 - 64,22.605,19,High Income Families
557,Married,200,4,College Graduate,50 - 64,22.605,19,High Income Families
557,Single,210,4,College Graduate,20-34,27.56,21,Young Starters
557,Single,210,4,College Graduate,20-34,27.56,21,Young Starters
558,Single,170,4,High School Graduate,50 - 64,22.51,20,Young Starters
560,Married,185,3,Some High School,35 - 49,31.75,16.4,Low Value Married No Kids
560,Married,185,3,Some High School,35 - 49,31.75,16.4,Low Value Married No Kids
560,Married,221,4,High School Graduate,35 - 49,49.9,21.1,Average Married No Kids
560,Married,221,4,High School Graduate,35 - 49,49.9,21.1,Average Married No Kids
573,Married,275,4,College Graduate,50 - 64,69.7,23.2,High Income Families
580,Married,302,4,College Graduate,50 - 64,82.6,21.1,High Income Families
581,Married,190,3,Some High School,35 - 49,38.9,15.9,Low Value Married No Kids
581,Married,190,3,Some High School,35 - 49,38.9,15.9,Low Value Married No Kids
581,Married,185,3,Some High School,35 - 49,41,14,Low Value Married No Kids
581,Married,185,3,Some High School,35 - 49,41,14,Low Value Married No Kids
582,Married,215,3,High School Graduate,35 - 49,41.6,16.4,Average Married No Kids
597,Married,302,4,College Graduate,50 - 64,85.5,23.2,High Income Families
601,Single,215,4,High School Graduate,50 - 64,35.3,19,Young Starters
607,Married,126,3,Some High School,65 and up,13.499,13.2,Low Value Married No Kids
607,Married,126,3,Some High School,65 and up,13.499,13.2,Low Value Married No Kids
607,Married,155,3,High School Graduate,35 - 49,20.39,15.9,Average Married No Kids
607,Married,155,3,High School Graduate,35 - 49,20.39,15.9,Average Married No Kids
612,Single,170,4,High School Graduate,50 - 64,26.399,20,Young Starters
612,Single,170,4,High School Graduate,50 - 64,26.399,20,Young Starters
612,Married,222,3,High School Graduate,35 - 49,26.249,18.5,Average Married No Kids
612,Married,222,3,High School Graduate,35 - 49,26.249,18.5,Average Married No Kids
614,Single,170,4,High School Graduate,20-34,29.299,21,Young Starters
615,Single,170,4,High School Graduate,20-34,22.799,19.4,Young Starters
619,Single,170,3,High School Graduate,20-34,17.89,19.4,Young Starters
620,Married,150,3,High School Graduate,35 - 49,18.145,15.2,Average Married No Kids
622,Married,215,3,High School Graduate,,24.15,18,
625,Married,150,3,High School Graduate,35 - 49,18.27,15,Average Married No Kids
625,Married,150,3,High School Graduate,35 - 49,18.27,15,Average Married No Kids
625,Married,250,4,College Graduate,50 - 64,36.229,18.5,High Income Families
625,Married,250,4,College Graduate,50 - 64,36.229,18.5,High Income Families
630,Single,190,4,College Graduate,20-34,31.598,17.5,Young Starters
633,Single,185,4,High School Graduate,50 - 64,25.345,25,Young Starters
642,Married,132,3,Some High School,35 - 49,12.64,12.5,Low Value Married No Kids
648,Married,132,3,Some High School,35 - 49,16.08,16,Low Value Married No Kids
652,Single,150,4,High School Graduate,50 - 64,18.85,20,Young Starters
659,Married,253,3,High School Graduate,50 - 64,43,12,Average Married No Kids
661,Married,150,3,High School Graduate,35 - 49,21.61,15,Average Married No Kids
663,Married,175,3,High School Graduate,35 - 49,19.72,15.2,Average Married No Kids
663,Married,175,3,High School Graduate,35 - 49,19.72,15.2,Average Married No Kids
663,Married,200,3,College Graduate,35 - 49,25.31,16.8,Low Value Married No Kids
663,Married,200,3,College Graduate,35 - 49,25.31,16.8,Low Value Married No Kids
664,Married,195,3,College Graduate,35 - 49,21.665,18,Low Value Married No Kids
665,Married,217,3,High School Graduate,50 - 64,41.43,17,Average Married No Kids
665,Married,217,3,High School Graduate,50 - 64,41.43,17,Average Married No Kids
665,Married,217,3,High School Graduate,50 - 64,41.43,17,Average Married No Kids
665,Married,205,4,College Graduate,50 - 64,23.755,17.5,High Income Families
665,Married,205,4,College Graduate,50 - 64,23.755,17.5,High Income Families
665,Married,205,4,College Graduate,50 - 64,23.755,17.5,High Income Families
665,Single,185,4,High School Graduate,50 - 64,25.635,25,Young Starters
665,Single,185,4,High School Graduate,50 - 64,25.635,25,Young Starters
665,Single,185,4,High School Graduate,50 - 64,25.635,25,Young Starters
666,Married,300,3,High School Graduate,50 - 64,71.02,17,High Income Families
673,Married,300,3,High School Graduate,50 - 64,74.97,17,High Income Families
675,Married,170,3,Some High School,50 - 64,33.12,18.5,Low Value Married No Kids
677,Married,185,3,Some High School,50 - 64,26.1,16.9,Low Value Married No Kids
678,Married,100,2,Some High School,65 and up,10.685,12.1,Low Value Married No Kids
679,Married,100,2,Some High School,65 and up,12.535,12.1,Low Value Married No Kids
679,Married,100,2,Some High School,65 and up,12.535,12.1,Low Value Married No Kids
679,Married,124,2,Some High School,65 and up,14.29,12.1,Low Value Married No Kids
679,Married,124,2,Some High School,65 and up,14.29,12.1,Low Value Married No Kids
680,Married,137,3,Some High School,35 - 49,18.835,13.1,Low Value Married No Kids
680,Married,137,3,Some High School,35 - 49,18.835,13.1,Low Value Married No Kids
680,Married,137,3,Some High School,35 - 49,15.01,13.1,Low Value Married No Kids
680,Married,137,3,Some High School,35 - 49,15.01,13.1,Low Value Married No Kids
685,Married,165,3,High School Graduate,35 - 49,22.695,16.9,Average Married No Kids
